ID,SalesDate,OrderID,CustomerID,SalesPersonID,ProductID,Quantity,Sales,StoreID,Category,Product,Region,Store,Latitude,Longitude,SalesPersonName,Title,Country,CustomerName,Gender,Phone,PostalCode,Foreigner
1,2015-01-01,10381,46,2,74,14,428.26,8,Children's Clothes,X-Train Shoes,East,Parkway Parade,1.30124,103.90523,Erik Presley,President,Singapore,Tony Montana,Female,(9) 331-6954,3508,False
2,2015-01-01,10382,19,3,5,32,179.84,2,Men's Clothes,O-Man Underwear,West ,Bukit Panjang Plaza,1.37974,103.7644,Rob Carsson,Sales Representative,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
3,2015-01-01,10382,19,3,18,9,241.02,6,Baby Clothes,Deuce Shirt,South ,Holland Village,1.31101,103.79627,Rob Carsson,Sales Representative,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
4,2015-01-01,10382,19,3,29,14,1811.32,2,Men's Footwear,Davenport Shoes,West ,Bukit Panjang Plaza,1.37974,103.7644,Rob Carsson,Sales Representative,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
5,2015-01-01,10382,19,3,33,60,1649.4,6,Sportswear,Casual Boots,South ,Holland Village,1.31101,103.79627,Rob Carsson,Sales Representative,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
6,2015-01-01,10382,19,3,74,50,1360.5,9,Children's Clothes,X-Train Shoes,South ,Marina Square,1.29136,103.85786,Rob Carsson,Sales Representative,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
7,2015-01-01,10391,17,8,13,18,416.16,9,Baby Clothes,Aino Shoes,South ,Marina Square,1.29136,103.85786,Leif Shine,Sales Manager,Germany,Lars von Holstein,Male,0241-039123,52066,True
8,2015-01-01,10392,59,4,69,50,104.5,8,Sportswear,Tube Socks,East,Parkway Parade,1.30124,103.90523,Joan Callins,Sales Coordinator,Singapore,Herbert Bernstorf,Female,6562-9722,5020,False
9,2015-01-01,10405,47,2,3,50,924.0,1,Women's Clothes,Chantell Shirt,West ,Jurong Point,1.34032,103.706006,Erik Presley,President,Singapore,Andrés Barbanegra,Male,(8) 34-56-12,4980,False
10,2015-01-01,10422,27,6,26,2,56.66,2,Sportswear,Bike Helmet,West ,Bukit Panjang Plaza,1.37974,103.7644,Lennart Skoglund,Sales Representative,Italy,Don Corleone,Female,011-4988260,10100,True
11,2015-01-01,10425,41,4,55,10,360.4,1,Sportswear,Feiss Fleece Trousers,West ,Jurong Point,1.34032,103.706006,Joan Callins,Sales Coordinator,France,Louise Davu,Male,61.77.61.10,31000,True
12,2015-01-01,10425,41,4,76,20,7228.6,9,Women's Clothes,Halter Dress,South ,Marina Square,1.29136,103.85786,Joan Callins,Sales Coordinator,France,Louise Davu,Male,61.77.61.10,31000,True
13,2015-01-01,10450,84,5,10,20,152.8,1,Baby Clothes,Sapporoo Gloves,West ,Jurong Point,1.34032,103.706006,Ingrid Hendrix,Sales Representative,France,Pierre Robert,Male,78.32.54.86,69004,True
14,2015-01-01,10450,84,5,54,6,211.32,7,Sportswear,Patamonia Fleece Jacket,East,Airport Terminal 1,1.35732,103.987309,Ingrid Hendrix,Sales Representative,France,Pierre Robert,Male,78.32.54.86,69004,True
15,2015-01-01,10451,63,7,55,120,4803.6,6,Sportswear,Feiss Fleece Trousers,South ,Holland Village,1.31101,103.79627,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
16,2015-01-01,10451,63,7,64,35,1257.9,9,Women's Footwear,WFS Shoes,South ,Marina Square,1.29136,103.85786,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
17,2015-01-01,10451,63,7,65,28,298.48,6,Women's Clothes,Stretch Pants,South ,Holland Village,1.31101,103.79627,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
18,2015-01-01,10451,63,7,77,55,688.05,1,Women's Clothes,Wrap Skirt,West ,Jurong Point,1.34032,103.706006,Tom Lindwall,Sales Representative,Germany,George Essen,Male,0372-035188,1307,True
19,2015-01-01,10478,84,4,10,20,132.0,1,Baby Clothes,Sapporoo Gloves,West ,Jurong Point,1.34032,103.706006,Joan Callins,Sales Coordinator,France,Pierre Robert,Male,78.32.54.86,69004,True
20,2015-01-01,10495,42,1,23,10,83.3,8,Women's Footwear,DSW Sandals,East,Parkway Parade,1.30124,103.90523,Frank Roll,Sales Representative,Canada,Joe Barry,Female,(604) 555-3392,V3F 2K1,True
21,2015-01-01,10495,42,1,41,20,204.4,8,Baby Clothes,Duck Shirt,East,Parkway Parade,1.30124,103.90523,Frank Roll,Sales Representative,Canada,Joe Barry,Female,(604) 555-3392,V3F 2K1,True
22,2015-01-01,10495,42,1,77,5,65.6,7,Women's Clothes,Wrap Skirt,East,Airport Terminal 1,1.35732,103.987309,Frank Roll,Sales Representative,Canada,Joe Barry,Female,(604) 555-3392,V3F 2K1,True
23,2015-01-01,10517,37,9,52,6,512.94,1,Women's Footwear,Winter Boots,West ,Jurong Point,1.34032,103.706006,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
24,2015-01-01,10517,37,9,59,4,33.2,9,Sportswear,Rasta WCT,South ,Marina Square,1.29136,103.85786,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
25,2015-01-01,10517,37,9,70,6,186.54,1,Men's Clothes,US-Master Jeans,West ,Jurong Point,1.34032,103.706006,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
26,2015-01-01,10519,37,9,10,16,120.8,9,Baby Clothes,Sapporoo Gloves,South ,Marina Square,1.29136,103.85786,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
27,2015-01-01,10519,37,9,56,40,1629.2,1,Women's Footwear,Slip-on Shoes,West ,Jurong Point,1.34032,103.706006,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
28,2015-01-01,10519,37,9,60,10,51.1,6,Sportswear,Game Over T-Shirt,South ,Holland Village,1.31101,103.79627,Helen Brolin,Sales Representative,Singapore,Robert Bolero,Male,2967542,12580,False
29,2015-01-01,11088,19,2,69,31,76.5783299,8,Sportswear,Tube Socks,East,Parkway Parade,1.30124,103.90523,Erik Presley,President,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
30,2015-01-01,11088,19,2,71,5,179.1246065,8,Men's Clothes,Atles Lussekofta,East,Parkway Parade,1.30124,103.90523,Erik Presley,President,UK,Greg Thatcher,Female,(171) 555-0297,WX1 6LT,True
